ecephys_unit_id,area,session,timescale_ac,err_ac,spike_count_ac,timescale_it,err_it,spike_count_it
950934605,LGd,715093703,1.0000006076872436,2439326.128252557,3.0,,,3.0
950934593,LGd,715093703,999.9999999998261,27950.48014071037,20.0,,,22.0
950941376,LGd,715093703,999.9999976186535,29584.511418264414,23.0,1.0000009114967148,0.0009078532920845482,29.0
950934619,LGd,715093703,1.0000005781463288,2480668.9869818883,3.0,,,4.0
950934637,LGd,715093703,1000.0,2123.377241737182,447.0,44.72912517468804,10.003326342506707,60.0
950934765,LGd,715093703,145.89867989212215,41.078844961217534,300.0,1.0000000919737926,0.0,744.0
950934843,LGd,715093703,999.9999999999987,3067.234105186797,184.0,82.57170030833869,20.75741961235439,119.0
950934728,LGd,715093703,137.5933070220664,33.205546170510175,394.0,1.0000029856485424,0.0,2446.0
950934971,LGd,715093703,1000.0,2690.226637810069,389.0,178.31426611039035,83.22144608614987,420.0
950935031,LGd,715093703,1000.0,3802.1990819947637,283.0,1.0000442767270226,8300.465106669306,342.0
950935011,LGd,715093703,1000.0,2436.726112518071,778.0,1.000000000127702,0.0,1475.0
950934992,LGd,715093703,60.08924511214125,11.105580251081152,738.0,1.0000000124405624,0.0,1515.0
950935051,LGd,715093703,999.999999928141,6970.845602795217,72.0,1.0000000000001557,2154.777195325165,190.0
950935128,LGd,715093703,242.5678355210088,89.29854246038687,611.0,1.0000000002159921,0.0,1680.0
950935269,LGd,715093703,14.991298718497212,2.986533694760724,420.0,1.0000000018233977,0.0,3134.0
950935299,LGd,715093703,1000.0,1447.2853219450753,599.0,621.0597189568648,1794.8097856833897,1495.0
950935317,LGd,715093703,27.775629768948306,4.869197788366249,78.0,1.000002131466178,0.0013914500204989678,273.0
950935499,LGd,715093703,49.52700114704769,10.25530907036857,494.0,1.0000049929310777,0.0,2048.0
950935575,LGd,715093703,1000.0,2082.3002726945056,259.0,1.0000000000417957,0.0,1144.0
950935658,LGd,715093703,53.88949082975139,7.380692402155105,375.0,1.0000000514436125,0.0,793.0
950935811,LGd,715093703,349.8017278725788,104.64356302459878,2113.0,61.00639737119252,14.235163211892626,3091.0
950935925,LGd,715093703,29.083504337907453,4.54144811355099,200.0,80.7337959732746,15.757580079002958,410.0
950936025,LGd,715093703,33.81008947147323,3.6800378759846426,763.0,184.56491910669556,55.15232281023674,1840.0
950941566,LGd,715093703,1000.0,2935.289526090601,279.0,190.44289193982576,104.73344553829835,1446.0
950936093,LGd,715093703,47.87650833574904,5.927773501909064,512.0,168.15297752834155,38.33747717374426,2075.0
950936272,LGd,715093703,15.438303312260473,7.53760495912775,26.0,1.0000000001828158,0.0,42.0
950936255,LGd,715093703,1000.0,2465.6593916172587,529.0,30.450081728277265,9.334268434332746,1090.0
950936240,LGd,715093703,117.05808438879127,25.4588616789699,431.0,257.88784372115316,193.85331553174652,1804.0
950936224,LGd,715093703,19.234497394674566,2.713593759635305,795.0,20.322824784685114,4.325514425059567,1869.0
950936177,LGd,715093703,42.35983865734419,11.213037086069283,564.0,15.221015552415855,5.6265260001494966,2917.0
950936210,LGd,715093703,22.049161731856678,7.500841213027574,633.0,53.223620380422545,10.583494852435221,1776.0
950936194,LGd,715093703,1000.0,2718.657333936284,524.0,32.993509738196146,3.7920816420494874,1464.0
950936292,LGd,715093703,52.095610051520154,5.957032449904396,328.0,19.511511652642575,8.782597119370147,1544.0
950936345,LGd,715093703,156.8387688261466,48.700232736306546,886.0,354.9950808494313,175.36736183716576,2217.0
950936326,LGd,715093703,122.42676824925026,30.746483358832435,720.0,13.12191060544491,10.05226634010115,3630.0
950936428,LGd,715093703,132.77955580308011,19.107897671433644,393.0,78.2338065234178,20.77331471599744,1302.0
950936412,LGd,715093703,999.9999999999924,3354.860668477311,342.0,54.18687462116621,8.018188425137593,1023.0
950936465,LGd,715093703,1000.0,1516.2077305867706,821.0,74.1613602661255,10.80537420615468,2422.0
950936447,LGd,715093703,1000.0,3974.553267466148,365.0,133.8706797685457,70.12521334378393,1121.0
950936482,LGd,715093703,1000.0,1148.5042599932965,963.0,206.76314886171502,103.07328465761616,2125.0
950947763,LGd,715093703,1000.0,4096.765073695677,902.0,804.2547320253383,2390.099335050853,3601.0
950947798,LGd,715093703,29.549391147304483,4.3767863953533945,274.0,206.9518442554901,169.35098125578725,360.0
950947778,LGd,715093703,44.46761157499217,9.022102988630644,258.0,35.020875266962754,13.026929548252927,643.0
950952881,LGd,715093703,10.834469563777214,6.1064269058342715,11.0,56.04429481586399,7.102534835217122,125.0
950947868,LGd,715093703,22.81789485446507,6.3733861461754096,85.0,1.6166888058125242,336.73528520596324,119.0
950947849,LGd,715093703,24.11083665276453,3.848112173990136,196.0,1.0000001276638582,0.0,1099.0
950947832,LGd,715093703,54.998813977378404,26.14853010779652,28.0,1.0000009507785026,0.0,366.0
950947963,LGd,715093703,76.147502041028,9.043770356866421,1178.0,1.0000000000000413,715.7202078775392,3277.0
950947941,LGd,715093703,13.517888888546903,3.1337623442126734,172.0,46.028602449741925,25.605444581645475,1915.0
950948009,LGd,715093703,9.19564246605822,3.0579036100653343,218.0,118.24927057486678,24.286650045355568,540.0
950947990,LGd,715093703,44.42521345937625,8.232430375497497,245.0,22.47288786965512,6.3710604876912775,1063.0
950948121,LGd,715093703,36.53521624350818,6.775904496702394,157.0,8.689409416704365,29.979497552590747,664.0
950948092,LGd,715093703,30.504964718165837,10.005700879725635,172.0,123.84197469076936,63.050213377259595,1128.0
