ecephys_unit_id,time_to_first_spike_fl
950910332,
950910326,
950910319,
950910311,
950912689,
950910352,
950910345,
950910364,
950910371,
950910378,
950910392,
950912700,
950910399,
950910385,
950912711,
950910406,
950910413,
950910420,
950910435,
950910441,
950910427,
950910448,
950910455,
950910463,
950912722,
950910479,
950910472,
950912743,
950912733,
950910496,
950910516,
950910531,
950910523,
950910509,
950910540,
950910576,
950910565,
950910558,
950910549,
950913120,
950910572,
950912765,
950910598,
950910623,
950910616,
950910603,
950910639,
950910633,
950910645,
950910651,
950912790,
950912779,
950910677,
950910671,
950910664,
950910658,
950910705,
950910719,
950910712,
950910727,
950910742,
950910735,
950910757,
950910771,
950910764,
950910823,
950910785,
950910778,
950912803,
950910797,
950910834,
950910852,
950910842,
950910897,
950910889,
950910861,
950912814,
950910872,
950910882,
950910904,
950910916,
950910910,
950910928,
950910923,
950910941,
950912861,
950910997,
950912852,
950910988,
950913130,
950911014,
950911006,
950911027,
950911040,
950911063,
950911088,
950911080,
950911195,
950911217,
950911223,
950911249,
950911238,
950911266,
950911258,
950911286,
950911294,
950911313,
950911383,
950913073,
950912895,
950911363,
950911391,
950913197,
950913085,
950912907,
950911402,
950912917,
950911449,
950911440,
950911431,
950913210,
950911513,
950911505,
950913224,
950912928,
950911485,
950911467,
950911458,
950911413,
950913143,
950912940,
950911549,
950911540,
950911519,
950911569,
950911563,
950911556,
950911629,
950911622,
950911615,
950911607,
950911601,
950911593,
950911529,
950911586,
950911580,
950911709,
950911656,
950911643,
950911636,
950912964,
950911698,
950911691,
950911684,
950912952,
950911704,
950911677,
950911671,
950911732,
950911764,
950911756,
950911748,
950911741,
950911840,
950911828,
950911817,
950911808,
950911912,
950911901,
950911880,
950911873,
950911952,
950911941,
950911965,
950911932,
950911922,
950912007,
950911996,
950911976,
950911986,
950912018,
950912076,
950912065,
950912118,
950912109,
950912139,
950912128,
950912152,
950912238,
950912226,
950912214,
950912203,
950912190,
950912164,
950912272,
950912260,
950912249,
950912283,
950912314,
950912303,
950912293,
950912361,
950912350,
950912338,
950912326,
950912396,
950912384,
950912448,
950912438,
950912427,
950912417,
950912406,
950912473,
950912460,
950913096,
950912978,
950912511,
950912989,
950912520,
950913000,
950912547,
950912529,
950912625,
950912583,
950913031,
950912564,
950913169,
950913020,
950913010,
950912646,
950912601,
950912591,
950912636,
950912656,
950913039,
950912664,
950912676,
950913433,0.075
950913422,0.065
950913409,0.063
950913398,0.108
950913456,0.056
950913470,0.088
950913506,0.109
950913496,0.071
950913483,0.087
950913567,0.07
950913547,0.06
950913537,0.08
950913527,0.077
950913517,0.084
950913632,0.105
950913620,0.082
950913609,0.082
950921546,
950921524,0.115
950920675,0.111
950913598,0.086
950913588,0.073
950913576,0.094
950920695,0.087
950913676,0.054
950913664,0.065
950913652,0.075
950913641,0.062
950921564,0.099
950913710,0.089
950913696,0.121
950913684,0.078
950913766,0.085
950913755,0.097
950913722,0.085
950920714,0.1
950913784,0.058
950913743,0.132
950913774,0.11
950913796,0.078
950913850,0.057
950913806,0.078
950920777,0.066
950920756,0.078
950913893,0.111
950913867,0.112
950913859,0.143
950913884,0.071
950913877,0.098
950921709,0.098
950913929,0.051
950913921,0.064
950913914,0.167
950913908,0.082
950913901,0.08
950920827,0.081
950913946,0.106
950913938,0.078
950913962,0.114
950913954,0.075
950920843,0.078
950914026,0.066
950913983,0.084
950913976,0.091
950913968,0.16
950914015,0.065
950914005,0.1
950913998,0.081
950913990,0.069
950914067,0.072
950914056,
950914037,
950914130,0.055
950921729,
950920860,
950914123,
950914116,0.072
950914110,
950914103,0.09
950914094,0.077
950914087,0.07
950914077,0.056
950914165,0.095
950914157,0.09
950914149,0.1
950914141,0.133
950914135,0.082
950914197,0.056
950914189,0.07
950914182,0.084
950914173,0.09
950914253,0.053
950914227,0.071
950914219,0.097
950914242,0.092
950914233,0.077
950914268,0.105
950914260,0.074
950914310,0.089
950914294,0.081
950914286,0.113
950914277,0.066
950914381,0.083
950914370,0.064
950914359,0.086
950914348,0.088
950914336,0.093
950914326,0.074
950914318,0.07
950914502,0.109
950914491,
950914444,0.087
950914435,0.079
950914424,0.07
950914413,0.059
950914403,0.092
950914391,0.113
950914529,0.057
950914520,0.092
950914511,0.074
950914553,0.078
950914538,0.059
950914562,0.096
950914587,0.131
950914575,0.108
950914625,0.146
950920894,0.084
950914611,0.115
950914635,0.07
950914707,0.108
950914694,0.106
950914683,0.158
950914672,0.083
950914660,0.076
950914648,0.116
950914754,
950914730,0.099
950914720,0.069
950920912,0.077
950914766,0.071
950914743,0.064
950920944,0.095
950920929,0.118
950914824,0.044
950914812,0.066
950914791,0.096
950914780,0.096
950914845,0.091
950914832,0.076
950914904,0.066
950914895,0.037
950914882,0.072
950914868,0.057
950914856,0.152
950914965,0.064
950914954,0.077
950914940,0.138
950920961,0.088
950914923,0.07
950914913,0.059
950920998,0.067
950915023,0.05
950915006,0.07
950920979,0.061
950914980,0.164
950915101,0.071
950915068,0.074
950921034,0.071
950921013,0.114
950915054,0.112
950915039,0.127
950915130,0.053
950915176,0.169
950915163,0.069
950914994,
950915287,0.06
950915258,0.09
950915304,0.08
950915318,0.193
950915425,0.085
950915378,0.105
950915365,0.086
950921069,0.087
950915413,0.12
950915401,0.076
950915441,0.068
950915498,
950915483,0.063
950921088,0.089
950915568,
950915542,0.097
950915526,0.081
950921583,
950915641,0.084
950915611,0.12
950915598,0.083
950915583,
950921112,
950921102,0.056
950915653,0.099
950915628,
950915838,0.11
950915873,0.109
950915921,0.068
950915984,0.103
950915960,0.083
950915947,0.09
950915934,
950916009,0.098
950915997,0.093
950916120,0.099
950916165,0.11
950921128,0.055
950916217,0.09
950916253,0.072
950916237,0.105
950916273,0.064
950921148,
950916464,
950916447,0.08
950916395,0.085
950916377,0.077
950921601,0.09
950921163,0.144
950916534,0.135
950916519,
950916429,
950916667,0.062
950916652,
950916637,0.134
950916603,0.124
950916586,0.196
950916569,0.12
950916413,0.056
950921176,0.05
950917295,0.106
950916921,0.092
950916774,0.112
950916754,0.11
950916733,0.16
950916552,0.094
950916500,0.122
950921263,
950917245,0.094
950916694,0.189
950921763,
950921636,
950921620,
950921240,0.131
950921214,
950917151,0.117
950917134,0.137
950917121,0.158
950917098,
950917083,0.052
950917226,0.109
950917168,0.065
950917063,0.102
950917042,
950917021,
950917004,0.122
950916980,0.141
950916720,0.099
950916620,0.112
950921283,
950917553,0.067
950917376,0.084
950917356,
950917332,0.099
950917313,0.132
950916961,0.115
950916832,0.099
950917411,0.119
950917261,
950917208,0.098
950917191,0.115
950917588,0.108
950917570,0.133
950917536,0.127
950917682,0.098
950917504,0.065
950917487,0.092
950917468,0.128
950917425,0.09
950917669,0.11
950917651,0.093
950917604,0.1
950921299,0.061
950917769,0.102
950917737,0.056
950917785,0.072
950917899,0.079
950917867,0.114
950917849,0.079
950917989,0.126
950917958,0.06
950918068,0.138
950918052,0.076
950918084,
950918280,0.073
950918261,0.15
950918246,0.071
950918230,0.15
950918209,0.065
950918191,0.099
950918175,0.073
950918344,0.083
950918326,0.152
950918310,0.074
950918381,0.054
950918362,
950918294,0.068
950918422,0.054
950918398,0.135
950918597,0.111
950918549,0.059
950918491,0.067
950918474,0.072
950918715,0.122
950918695,0.117
950918676,0.121
950918802,0.069
950918659,0.067
950918641,0.127
950918622,0.196
950918570,0.046
950918745,0.045
950918730,0.091
950918885,0.112
